ID,AR_G,AR_I,AR_J0378,AR_J0395,AR_J0410,AR_J0430,AR_J0515,AR_J0660,AR_J0861,AR_R,AR_U,AR_Z,CHI2NU,Field_ID,MAG_G,MAG_I,MAG_J0378,MAG_J0395,MAG_J0410,MAG_J0430,MAG_J0515,MAG_J0660,MAG_J0861,MAG_R,MAG_U,MAG_Z,PA_G,PA_I,PA_J0378,PA_J0395,PA_J0410,PA_J0430,PA_J0515,PA_J0660,PA_J0861,PA_R,PA_U,PA_Z,RE_G,RE_I,RE_J0378,RE_J0395,RE_J0410,RE_J0430,RE_J0515,RE_J0660,RE_J0861,RE_R,RE_U,RE_Z,XC_G,XC_I,XC_J0378,XC_J0395,XC_J0410,XC_J0430,XC_J0515,XC_J0660,XC_J0861,XC_R,XC_U,XC_Z,YC_G,YC_I,YC_J0378,YC_J0395,YC_J0410,YC_J0430,YC_J0515,YC_J0660,YC_J0861,YC_R,YC_U,YC_Z,dec,e_AR_G,e_AR_I,e_AR_J0378,e_AR_J0395,e_AR_J0410,e_AR_J0430,e_AR_J0515,e_AR_J0660,e_AR_J0861,e_AR_R,e_AR_U,e_AR_Z,e_MAG_G,e_MAG_I,e_MAG_J0378,e_MAG_J0395,e_MAG_J0410,e_MAG_J0430,e_MAG_J0515,e_MAG_J0660,e_MAG_J0861,e_MAG_R,e_MAG_U,e_MAG_Z,e_PA_G,e_PA_I,e_PA_J0378,e_PA_J0395,e_PA_J0410,e_PA_J0430,e_PA_J0515,e_PA_J0660,e_PA_J0861,e_PA_R,e_PA_U,e_PA_Z,e_RE_G,e_RE_I,e_RE_J0378,e_RE_J0395,e_RE_J0410,e_RE_J0430,e_RE_J0515,e_RE_J0660,e_RE_J0861,e_RE_R,e_RE_U,e_RE_Z,e_XC_G,e_XC_I,e_XC_J0378,e_XC_J0395,e_XC_J0410,e_XC_J0430,e_XC_J0515,e_XC_J0660,e_XC_J0861,e_XC_R,e_XC_U,e_XC_Z,e_YC_G,e_YC_I,e_YC_J0378,e_YC_J0395,e_YC_J0410,e_YC_J0430,e_YC_J0515,e_YC_J0660,e_YC_J0861,e_YC_R,e_YC_U,e_YC_Z,e_n_G,e_n_I,e_n_J0378,e_n_J0395,e_n_J0410,e_n_J0430,e_n_J0515,e_n_J0660,e_n_J0861,e_n_R,e_n_U,e_n_Z,ellipticity_det,elongation_det,err_mag_auto_g,err_mag_auto_i,err_mag_auto_j0378,err_mag_auto_j0395,err_mag_auto_j0410,err_mag_auto_j0430,err_mag_auto_j0515,err_mag_auto_j0660,err_mag_auto_j0861,err_mag_auto_r,err_mag_auto_u,err_mag_auto_z,field,flux_radius_as_50_det,flux_radius_as_90_det,input_DEC,input_RA,mag_auto_g,mag_auto_i,mag_auto_j0378,mag_auto_j0395,mag_auto_j0410,mag_auto_j0430,mag_auto_j0515,mag_auto_j0660,mag_auto_j0861,mag_auto_r,mag_auto_u,mag_auto_z,n_G,n_I,n_J0378,n_J0395,n_J0410,n_J0430,n_J0515,n_J0660,n_J0861,n_R,n_U,n_Z,ra,redshift,sep_arcsec,theta_det,x_pixel_det,y_pixel_det,label
DR4_3_STRIPE82-0141_0006779,0.6819,0.6339,0.698,0.6952,0.6927,0.6894,0.6757,0.6515,0.6188,0.6573,0.7018,0.6152,1.19,4675_2475_STRIPE82-0141,16.7148,15.6009,18.0633,17.77,17.5929,17.3677,16.3194,15.779,15.4829,15.9275,18.2701,15.4848,-24.9638,-17.925,-27.3133,-26.9061,-26.5373,-26.0631,-24.0489,-20.502,-15.7193,-21.3546,-27.8737,-15.1924,28.7716,15.4989,33.2018,32.4341,31.7386,30.8444,27.0465,20.3582,11.3397,21.9659,34.2586,10.3461,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,151.2142,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,127.6657,-1.1847260692449548,0.0116,0.0056,0.0158,0.0151,0.0144,0.0136,0.01,0.0052,0.0086,0.006,0.0168,0.0094,0.0454,0.0353,0.0917,0.112,0.0851,0.072,0.0471,0.0396,0.0422,0.0409,0.0754,0.0473,1.5335,0.7008,2.1152,2.013,1.9209,1.8031,1.3147,0.6243,1.1383,0.7451,2.2564,1.2594,3.6723,1.4923,4.5153,4.3679,4.2349,4.0644,3.3502,2.1703,1.2669,2.4389,4.7187,1.289,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,*0.7006*,*0.5134*,*0.8412*,*0.8155*,*0.7926*,*0.7639*,*0.6523*,*0.5228*,*0.5679*,*0.5434*,*0.8773*,*0.5881*,0.07940024,1.0862484,0.021834128,0.010226687,0.17365064,0.22902164,0.13055946,0.14848307,0.04285962,0.012186943,0.01945077,0.011058104,0.14469753,0.014400246,STRIPE82-0141,3.8724773,11.392015,-1.184762718,338.885205853,17.670835,16.297703,18.914093,18.699764,18.285751,18.516287,17.229427,16.569265,16.017458,16.730043,19.289387,16.01947,*13.8502*,*12.9882*,*14.1379*,*14.0881*,*14.0429*,*13.9848*,*13.7381*,*13.3038*,*12.7180*,*13.4082*,*14.2066*,*12.6535*,338.8852137508788,0.0889956,0.134963086276416,-78.02291,4551.208,2327.647,0
DR4_3_STRIPE82-0141_0008562,0.7877,0.8532,0.7658,0.7696,0.773,0.7775,0.7962,0.8292,0.8737,0.8213,0.7606,0.8786,1.158,5225_2475_STRIPE82-0141,17.05,15.4878,18.7867,18.3526,18.3245,17.9965,16.6235,15.8335,15.23,16.0262,19.3086,15.1501,-75.5969,-67.3188,-78.36,-77.8812,-77.4474,-76.8897,-74.5209,-70.3495,-64.7247,-71.3522,-79.0191,-64.1051,6.1327,7.7829,5.5819,5.6774,5.7638,5.875,6.3472,7.1787,8.3,6.9789,5.4505,8.4235,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,503.2137,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,459.9127,-1.1339860733163365,0.0114,0.0057,0.0159,0.0151,0.0144,0.0135,0.0097,0.0046,0.0092,0.0055,0.0169,0.0101,0.0409,0.02,0.102,0.109,0.0933,0.074,0.0361,0.0177,0.0267,0.0193,0.1039,0.0279,2.5326,1.6044,3.6092,3.419,3.2477,3.0292,2.1357,1.0961,2.5098,1.2057,3.8727,2.7453,0.5242,0.359,0.7419,0.7032,0.6684,0.6242,0.4451,0.2529,0.5414,0.2694,0.7956,0.5891,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.4100,0.2396,0.5714,0.5429,0.5172,0.4844,0.3505,0.1861,0.3674,0.2078,0.6110,*0.4018*,0.15028745,1.1768686,0.017333616,0.0076940805,0.22638683,0.25155196,0.2582731,0.21136212,0.034832533,0.009332677,0.015191688,0.008649047,0.362016,0.0102335485,STRIPE82-0141,4.3683643,13.68293,-1.134001803,338.747389837,17.323408,15.882752,19.109417,18.70969,18.940264,18.81227,16.911356,16.173393,15.650734,16.36011,20.19857,15.545551,7.7385,9.3679,7.1946,7.2889,7.3743,7.4840,7.9503,8.7714,9.8785,8.5740,7.0649,*10.0005*,338.74739331119014,0.0889277,0.0579910967314384,-15.101896,5453.1465,2659.8096,0
DR4_3_STRIPE82-0141_0006722,0.8039,0.8629,0.7842,0.7876,0.7907,0.7947,0.8116,0.8413,0.8814,0.8342,0.7795,0.8859,1.148,5225_2475_STRIPE82-0141,17.8747,16.3802,19.3198,19.6882,19.2022,18.7446,17.4506,16.6785,16.1198,16.8845,19.9472,16.0744,-36.7652,-32.2027,-38.2881,-38.0242,-37.7851,-37.4777,-36.1722,-33.8731,-30.7729,-34.4257,-38.6513,-30.4314,6.6779,6.5866,6.7083,6.703,6.6983,6.6921,6.666,6.62,6.5581,6.6311,6.7156,6.5512,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.4069,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,101.8237,-1.181650258176604,0.0249,0.0124,0.0349,0.0332,0.0316,0.0296,0.0212,0.0098,0.0203,0.0116,0.0374,0.0225,0.0781,0.0363,0.1755,0.3506,0.2028,0.1453,0.0729,0.037,0.0538,0.0421,0.1872,0.0581,5.5566,3.4461,7.9327,7.5134,7.1357,6.6536,4.6772,2.3302,5.4488,2.5895,8.5132,5.9684,1.0416,0.5149,1.4555,1.3828,1.3172,1.2333,0.8861,0.4112,0.8432,0.4879,1.556,0.9311,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.7959,0.4067,1.1162,1.0599,1.0091,0.9442,0.6758,0.3144,0.6638,0.3706,1.1941,0.7322,0.08606243,1.0941666,0.035432175,0.01478363,0.40020704,1.1097784,0.26930997,0.3319984,0.073737316,0.017760204,0.02870938,0.016407033,0.18158944,0.01962785,STRIPE82-0141,4.044061,11.232807,-1.181658386,338.821301658,18.283434,16.78584,19.89634,20.487377,19.14698,19.465704,17.899752,17.07292,16.521559,17.252851,19.605959,16.430445,7.7100,8.3552,7.4946,7.5319,7.5658,7.6092,7.7938,8.1190,8.5574,8.0408,7.4433,8.6057,338.8213124642827,0.089458,0.0486716268169211,-32.506752,4969.398,2347.798,0
DR4_3_STRIPE82-0141_0009758,0.5349,0.564,0.5252,0.5268,0.5284,0.5303,0.5387,0.5534,0.5732,0.5498,0.5228,0.5753,1.205,5225_3025_STRIPE82-0141,18.1494,16.5984,19.7056,20.0123,19.4417,19.1172,17.7254,16.922,16.3475,17.1427,20.1615,16.2576,63.6116,60.7274,64.5743,64.4075,64.2564,64.0621,63.2367,61.7833,59.8235,62.1327,64.804,59.6076,3.1842,3.3931,3.1145,3.1265,3.1375,3.1516,3.2114,3.3166,3.4586,3.2913,3.0978,3.4742,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,171.4828,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,176.8275,-1.0932019993826294,0.0156,0.0075,0.0217,0.0206,0.0197,0.0184,0.0133,0.0061,0.0124,0.0073,0.0232,0.0137,0.0304,0.0143,0.1385,0.2962,0.1525,0.1112,0.0343,0.0139,0.0216,0.015,0.1295,0.0217,1.3034,0.6563,1.828,1.7359,1.6527,1.5464,1.1064,0.5091,1.0774,0.6034,1.9554,1.1895,0.1159,0.0683,0.1664,0.1575,0.1495,0.1392,0.097,0.0444,0.1113,0.0508,0.1786,0.1224,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.2250,0.1259,0.3196,0.3030,0.2879,0.2688,0.1896,0.0881,0.2047,0.1019,0.3426,0.2252,0.23406643,1.3055962,0.025819967,0.011143295,0.28926167,0.57076645,0.61779,0.16389911,0.054677404,0.013829176,0.02185974,0.012822423,0.30020913,0.01493383,STRIPE82-0141,3.5270393,9.4408,-1.093232114,338.798067267,18.159874,16.691391,19.774857,20.001442,20.293442,18.93609,17.804447,17.004251,16.45491,17.192865,20.383654,16.364136,3.2312,3.9761,2.9826,3.0257,3.0647,3.1149,3.3280,3.7034,4.2095,3.6132,2.9233,4.2653,338.79807456390284,0.0900874,0.1115486352297841,35.119762,5121.4663,2926.77,0
DR4_3_STRIPE82-0141_0010582,0.4058,0.3868,0.4121,0.411,0.41,0.4087,0.4033,0.3938,0.3809,0.3961,0.4136,0.3795,1.205,5225_3025_STRIPE82-0141,18.5343,17.1806,19.8471,20.3375,20.1345,19.2991,18.2063,17.4329,16.9518,17.6681,20.5135,16.9335,-75.0272,-75.6063,-74.8339,-74.8674,-74.8977,-74.9368,-75.1025,-75.3943,-75.7878,-75.3241,-74.7878,-75.8311,4.7798,4.5946,4.8416,4.8308,4.8211,4.8087,4.7557,4.6624,4.5366,4.6848,4.8563,4.5227,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,162.6475,352.728,352.728,352.728,352.728,352.728,352.728,352.728,352.728,352.728,352.728,352.728,352.728,-1.0663359888527713,0.014,0.007,0.0196,0.0186,0.0177,0.0166,0.0118,0.0053,0.0116,0.0063,0.021,0.0128,0.036,0.017,0.1801,0.4561,0.3211,0.1455,0.0502,0.0181,0.028,0.0192,0.2007,0.0271,1.0652,0.5145,1.4848,1.4111,1.3447,1.2597,0.9075,0.4205,0.8442,0.5011,1.5867,0.9331,0.1839,0.0915,0.2578,0.2448,0.2331,0.2181,0.1561,0.0713,0.1508,0.0849,0.2758,0.1666,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.1458,0.0763,0.2053,0.1949,0.1854,0.1734,0.1235,0.0571,0.1247,0.0671,0.2198,0.1375,0.4014731,1.6707686,0.039208505,0.019544663,0.404885,0.537023,0.62137383,0.23896277,0.082202755,0.024217365,0.038228,0.022513155,0.23510695,0.02786494,STRIPE82-0141,3.8840551,9.0453,-1.066359179,338.799424485,18.55689,17.263224,20.054962,19.860245,20.2186,19.272177,18.181353,17.577517,17.00947,17.770538,20.034979,16.989418,2.0583,2.1744,2.0195,2.0262,2.0323,2.0401,2.0734,2.1319,2.2108,2.1178,2.0103,2.2195,338.7994309043887,0.089616,0.0866230028022523,-15.190432,5112.588,3102.628,0
DR4_3_STRIPE82-0141_0014732,0.6431,0.6486,0.6412,0.6416,0.6418,0.6422,0.6438,0.6466,0.6503,0.6459,0.6408,0.6507,1.183,5225_4125_STRIPE82-0141,18.4705,17.056,19.9169,19.4369,19.186,19.3502,18.2112,17.4016,16.8057,17.5708,20.5441,16.7175,-74.8138,-79.3054,-73.3145,-73.5743,-73.8097,-74.1123,-75.3976,-77.661,-80.713,-77.1169,-72.9569,-81.0492,4.896,6.4845,4.3657,4.4576,4.5409,4.6479,5.1025,5.9029,6.9823,5.7105,4.2393,7.1012,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,351.5753,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,61.5528,-0.942757287450676,0.021,0.0114,0.0297,0.0281,0.0268,0.025,0.0178,0.0084,0.0185,0.0098,0.0318,0.0203,0.0508,0.0294,0.2096,0.2186,0.1557,0.1689,0.0623,0.0255,0.0413,0.0252,0.2244,0.0396,2.397,1.3349,3.4086,3.2308,3.0704,2.8653,2.0185,0.9279,2.1787,1.0768,3.6546,2.3983,0.3338,0.2892,0.4746,0.4492,0.4265,0.3977,0.2851,0.1983,0.4142,0.1963,0.51,0.4465,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.1894,0.1316,0.2622,0.2492,0.2375,0.2227,0.1634,0.1010,0.1902,0.1067,0.2803,0.2060,0.22497755,1.2902852,0.054142475,0.026947785,0.7275181,2.7135718,0.4247566,0.6772771,0.1512372,0.03385493,0.05369564,0.028938957,0.29295594,0.039350986,STRIPE82-0141,4.4273024,10.821659,-0.942767197,338.770537973,18.57276,17.291111,20.329277,21.259743,19.453629,20.05515,18.505125,17.621292,17.05008,17.719488,19.914104,17.03408,2.1695,3.1189,1.8526,1.9075,1.9572,2.0212,2.2929,2.7713,3.4164,2.6563,1.7770,3.4875,338.77052796636184,0.0887763,0.0506954738880642,-1.8716569,5301.737,3911.5327,0
DR4_3_STRIPE82-0141_0009081,0.7716,0.7831,0.7678,0.7684,0.769,0.7698,0.7731,0.7789,0.7867,0.7775,0.7669,0.7875,1.167,5775_3025_STRIPE82-0141,17.2393,16.1972,18.0537,18.0863,17.9726,17.5497,17.0149,16.4684,16.0866,16.6131,18.4075,16.0077,68.8695,67.9562,69.1743,69.1215,69.0736,69.0121,68.7508,68.2906,67.6701,68.4012,69.247,67.6017,6.9821,6.5475,7.1272,7.1021,7.0793,7.05,6.9256,6.7066,6.4113,6.7593,7.1618,6.3787,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,456.6507,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,30.9314,-1.1154857488567924,0.0054,0.0034,0.0077,0.0073,0.007,0.0065,0.0046,0.0024,0.0052,0.0026,0.0083,0.0057,0.013,0.0079,0.0524,0.0847,0.0653,0.0424,0.0236,0.0083,0.0147,0.0079,0.044,0.012,1.3433,0.8472,1.8913,1.7942,1.7069,1.5956,1.1424,0.617,1.2963,0.6754,2.0258,1.4151,0.0667,0.0407,0.0939,0.0891,0.0848,0.0793,0.0567,0.0298,0.0628,0.0331,0.1006,0.0687,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0148,0.0097,0.0206,0.0196,0.0187,0.0175,0.0126,0.0072,0.0145,0.0078,0.0221,0.0157,0.19556606,1.2431102,0.017915856,0.0108334,0.08815536,0.18121389,0.11253651,0.06550511,0.041242905,0.013113017,0.024028787,0.011402505,0.08956016,0.016263949,STRIPE82-0141,6.4296813,12.589199,-1.115513836,338.670490672,17.262716,16.181177,17.972607,18.250614,17.930971,17.427921,17.000494,16.475548,16.068989,16.587372,18.565601,15.968311,0.7100,0.8457,0.6646,0.6725,0.6796,0.6888,0.7276,0.7960,0.8883,0.7796,0.6538,0.8985,338.6704043884942,0.0918558,0.3266076940232618,25.170244,5956.9917,2780.9038,0
DR4_3_STRIPE82-0141_0009549,0.5424,0.568,0.5338,0.5353,0.5367,0.5384,0.5457,0.5586,0.5761,0.5555,0.5318,0.578,1.167,5775_3025_STRIPE82-0141,17.5653,16.1353,19.061,18.9506,18.9246,18.2843,17.0948,16.41,15.9015,16.5985,19.5506,15.8324,-49.7632,-46.7253,-50.7772,-50.6015,-50.4423,-50.2377,-49.3684,-47.8375,-45.7733,-48.2055,-51.0191,-45.5459,4.2196,4.1006,4.2593,4.2525,4.2462,4.2382,4.2042,4.1442,4.0634,4.1586,4.2688,4.0545,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,376.1591,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,127.2708,-1.100765353934511,0.0119,0.0059,0.0166,0.0158,0.015,0.014,0.0101,0.0047,0.0097,0.0055,0.0177,0.0107,0.0293,0.0139,0.0941,0.1349,0.1127,0.0665,0.0295,0.0142,0.0212,0.0158,0.0916,0.0224,1.0023,0.5176,1.4103,1.3386,1.2739,1.1913,0.8493,0.3907,0.8484,0.4609,1.5094,0.9359,0.2019,0.1,0.2826,0.2684,0.2556,0.2393,0.1716,0.0789,0.1644,0.0938,0.3022,0.1816,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.2976,0.1510,0.4175,0.3965,0.3775,0.3532,0.2526,0.1167,0.2473,0.1380,0.4467,0.2730,0.17825043,1.2169158,0.021452637,0.0095269345,0.19064209,0.7862417,0.22498721,0.12007357,0.039280925,0.011296333,0.01865854,0.0105999485,0.18952021,0.0127106765,STRIPE82-0141,3.8745382,11.401792,-1.100803575,338.68275733,17.683342,16.248575,19.03243,20.067505,18.911278,18.316744,17.166512,16.511915,16.010862,16.70103,19.599503,15.916449,5.5513,5.7724,5.4775,5.4903,5.5018,5.5167,5.5800,5.6914,5.8417,5.6646,5.4599,5.8582,338.6827534718351,0.0883251,0.1382948230383449,-33.341793,5876.1753,2877.2622,0
DR4_3_STRIPE82-0139_0020442,0.2707,0.2265,0.2855,0.2829,0.2806,0.2776,0.265,0.2427,0.2126,0.248,0.289,0.2093,1.314,8525_5775_STRIPE82-0139,18.558,17.14,21.1097,20.4085,19.5679,18.9839,18.1304,17.5018,16.9299,17.5981,20.258,16.8679,-88.2142,-89.4544,-87.8002,-87.8719,-87.9369,-88.0205,-88.3754,-89.0003,-89.8431,-88.8501,-87.7014,-89.9359,6.2414,5.3137,6.5511,6.4975,6.4488,6.3863,6.1209,5.6534,5.023,5.7657,6.625,4.9535,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,511.2281,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,117.4803,-0.6821077073140303,0.0141,0.0055,0.0191,0.0182,0.0174,0.0164,0.0122,0.0059,0.0089,0.0071,0.0203,0.0099,0.0717,0.0235,0.8489,0.6259,0.2953,0.1681,0.087,0.0284,0.0345,0.031,0.2541,0.034,1.0672,0.4056,1.4366,1.3719,1.3134,1.2387,0.9274,0.4569,0.6429,0.5504,1.526,0.7154,0.3467,0.1294,0.4647,0.444,0.4254,0.4015,0.302,0.1507,0.2023,0.1811,0.4933,0.2251,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.1936,0.0884,0.2646,0.2522,0.2409,0.2265,0.167,0.083,0.1394,0.0979,0.2819,0.1539,0.5978248,2.4864786,0.10207517,0.035327524,99.0,1.4431468,1.2000096,0.2386534,0.14237867,0.0382307,0.060983334,0.036732595,0.3136435,0.035744816,STRIPE82-0139,4.479812,11.242185,-0.682103285,336.824639345,18.391735,17.108053,99.0,20.494041,20.270567,18.557364,17.907032,17.46207,16.979708,17.549797,19.732868,16.773037,1.7348,2.1639,1.5915,1.6163,1.6388,1.6677,1.7905,2.0068,2.2983,1.9548,1.5574,2.3304,336.8246386856718,0.0572781,0.0160962732918399,0.8232213,8761.27,5617.4443,0
DR4_3_STRIPE82-0139_0021430,0.5611,0.5561,0.5628,0.5625,0.5623,0.5619,0.5605,0.558,0.5545,0.5586,0.5632,0.5542,1.314,8525_5775_STRIPE82-0139,15.763,14.2751,17.5143,17.137,17.3061,16.3912,15.302,14.6764,14.0157,14.7687,17.915,13.9506,40.9255,39.9504,41.2509,41.1945,41.1434,41.0777,40.7987,40.3074,39.6449,40.4255,41.3285,39.5719,15.4684,17.5081,14.7876,14.9056,15.0125,15.1499,15.7335,16.7613,18.1472,16.5143,14.6252,18.2999,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,425.4678,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,143.8618,-0.6780980268270338,0.0056,0.0022,0.0076,0.0072,0.0069,0.0065,0.0049,0.0024,0.0035,0.0029,0.0081,0.0039,0.0455,0.0188,0.0859,0.0836,0.0884,0.0603,0.0399,0.0202,0.0252,0.0233,0.086,0.027,0.5438,0.212,0.7308,0.698,0.6684,0.6306,0.4732,0.237,0.3306,0.2835,0.7761,0.367,1.07,0.5414,1.4773,1.4056,1.3409,1.2584,0.9181,0.4608,0.8499,0.5343,1.5766,0.9349,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.168,0.0792,0.2309,0.2199,0.2099,0.1971,0.1444,0.071,0.1257,0.0836,0.2462,0.1388,0.39511162,1.6531975,0.016621115,0.0052019632,0.12853561,0.11686763,0.12265536,0.04796704,0.023844998,0.005810299,0.008029123,0.0057086977,0.09153247,0.005282283,STRIPE82-0139,7.7164707,19.520748,-0.678093145,336.837754184,15.938821,14.516181,17.787643,17.296207,17.325848,16.341267,15.481585,14.892302,14.271189,15.013144,17.931025,14.190473,5.3912,6.1937,5.1233,5.1697,5.2118,5.2658,5.4955,5.8999,6.4452,5.8027,5.0594,6.5053,336.83771773366,0.0565926,0.1323837743432839,59.36341,8675.664,5643.699,1
DR4_3_STRIPE82-0139_0021693,0.6323,0.6249,0.6348,0.6343,0.6339,0.6335,0.6313,0.6276,0.6226,0.6285,0.6354,0.622,1.314,8525_5775_STRIPE82-0139,16.8118,15.089,18.4809,18.0305,18.3709,17.4129,16.4963,15.5544,14.7723,15.6926,18.9331,14.6912,62.3795,52.1137,65.8061,65.2123,64.6744,63.9828,61.0452,55.8721,48.8966,57.1156,66.6235,48.1282,11.5391,10.6117,11.8486,11.795,11.7464,11.6839,11.4185,10.9512,10.321,11.0635,11.9224,10.2516,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,438.6966,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,136.8405,-0.6791344752027638,0.0101,0.0034,0.0134,0.0129,0.0123,0.0117,0.0089,0.0045,0.0053,0.0054,0.0142,0.0059,0.0608,0.0226,0.1715,0.1593,0.206,0.1008,0.0609,0.0275,0.0297,0.0317,0.1697,0.032,1.1107,0.3843,1.4682,1.4056,1.3491,1.2768,0.9749,0.5037,0.5696,0.6024,1.5546,0.635,0.5759,0.2458,0.7785,0.7429,0.7108,0.6698,0.4997,0.2528,0.3813,0.2991,0.8277,0.4215,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.1009,0.0502,0.1381,0.1315,0.1256,0.1181,0.087,0.0449,0.0773,0.0519,0.1471,0.0849,0.44286764,1.7949055,0.028529001,0.00753411,0.24431258,0.14791685,0.17244908,0.07441313,0.04631491,0.008744511,0.011511213,0.008997777,0.115256175,0.0071521145,STRIPE82-0139,7.5017695,19.687588,-0.679160469,336.835706671,16.630322,15.030281,18.578573,17.647223,17.791954,16.920015,16.309196,15.45416,14.770482,15.6234,18.273258,14.627345,2.4433,3.5912,2.0601,2.1265,2.1866,2.264,2.5925,3.1709,3.9509,3.0319,1.9687,4.0369,336.83578544098475,0.0569386,0.2985942575261662,44.31222,8688.312,5636.9136,1
